"","Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"1100","<U+0001F442><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B6><U+2728><U+2728><U+2728><U+2728><U+2728><U+2763><U+FE0F>","Asylhanym Atkaeva","0","0","2019-11-17T04:16:31.000Z","UgzGTTnwLMe8-5DVQQh4AaABAg","None","FALSE","nfs8NYg7yQM"
"2","<U+C640> <U+BBF8><U+CE5C>","<U+BAA8><U+BC14><U+C77C><U+BC30><U+D2C0><U+ADF8><U+B77C><U+C6B4><U+B4DC> <U+C7A5><U+C778><U+C774> <U+B418><U+ACE0><U+C2F6><U+B2E4>","0","0","2019-11-17T03:40:47.000Z","UgxvH-T_xvUpbbj7LCx4AaABAg","None","FALSE","nfs8NYg7yQM"
"3","cms educube erp. net login 2:00/ 3:51/ 1:59","Manish Verma","0","1","2019-11-17T03:14:20.000Z","UgyH3pnJWCQDRJeb5WB4AaABAg","None","FALSE","nfs8NYg7yQM"
"4","<U+0E42><U+0E04><U+0E23><U+0E15><U+0E0A><U+0E2D><U+0E1A><U+0E1A><U+2764><U+0001F618><U+0001F618>","<U+0E2D><U+0E32><U+0E23><U+0E32>' <U+0E40><U+0E2D><U+0E34><U+0E19>","0","1","2019-11-17T03:11:50.000Z","Ugw9wuIyWxoChN072Ld4AaABAg","None","FALSE","nfs8NYg7yQM"
"5","idiots watching Charlie's music videos be like:
Like:Charlie Puth
Comment:Justin Bieber","Samiul Hasib","0","1","2019-11-17T03:03:08.000Z","Ugx_zFiqIl9xBmumWTF4AaABAg","None","FALSE","nfs8NYg7yQM"
"6","That glass breaking part is kind of like the intro of Solo.","SamsungS8","0","0","2019-11-17T02:55:51.000Z","UgyaJ0l00--jxeSp-3d4AaABAg","None","FALSE","nfs8NYg7yQM"
"7","Oh-oh, ooh
You've been runnin' round, runnin' round, runnin' round throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up
You've been going round, going round, going round every party in L.A.
'Cause you knew that I, knew that I, knew that I'd be at one, oh
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine, oh
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you
you've been runnin' round, runnin' round, runnin' round throwing that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up
Baby, now that we're, now that we're, now that we're right here standing face-to-face
You already know, already know, already know that you won, oh
I know that dress is karma (dress is karma), perfume regret
You got me thinking 'bout when you were mine (you got me thinking 'bout when you were mine)
And now I'm all up on ya (all up on ya), what you expect? (oh baby)
But you're not coming home with me tonight (oh no)
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you, oh
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
(What are you doin'?)
What are you doin' to me, what are you doin', huh?
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you (over you)
What are you doin' to me? (hey) what are you doin', huh? (what are you doin', what?)
(What are you doin', to me? What are you doin', huh?)
(What are you doin', to me? What are you doin', huh?)
(What are you doin' to me, what are you doin', huh?)k","Brenton Tutorials And Games","0","0","2019-11-17T02:28:53.000Z","UgzWu2kniwnS5ppiFPR4AaABAg","None","FALSE","nfs8NYg7yQM"
"8","Attention people this music vevo has reached 1B","Nate The Dolphin Man","0","0","2019-11-17T02:22:45.000Z","UgyWAZy7eHJV449LyfZ4AaABAg","None","FALSE","nfs8NYg7yQM"
"9","Whoooooooooooo?","alaa agha 0963954776436","0","0","2019-11-17T01:40:28.000Z","UgzR7JGFEIgmuildlMB4AaABAg","None","FALSE","nfs8NYg7yQM"
"10","Well deserved billion views it's an amazing song love you Charlie <U+0001F60D><U+0001F60A>","Bethel Girma","0","0","2019-11-17T01:11:41.000Z","UgwO9wkhXi102uZVNvR4AaABAg","None","FALSE","nfs8NYg7yQM"
