"","Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"1100","LANGUAGE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","Rachel Urich","0","1","2019-11-17T04:33:42.000Z","UgwY26qdVG6y8Gre13x4AaABAg","None","FALSE","vWaRiD5ym74"
"2","{\_/}
(• - •)
(-><U+0001F370>","Pelusa Nusa","0","0","2019-11-17T02:25:28.000Z","UgxJeJHGbq1xRWT_DxF4AaABAg","None","FALSE","vWaRiD5ym74"
"3","This remember me in the middelschool Year litery evry time when we can but a nuber it was this one <U+0001F370><U+0001F370><U+0001F370>","SUBCRIBE to XDileYT","0","0","2019-11-16T18:57:54.000Z","UgydNb9Z4JkI0mgpOkZ4AaABAg","None","FALSE","vWaRiD5ym74"
"4","i wanted to know why people were saying cake by the ocean is bad and the clean version is better i did my research and i found my answer","Nidia Chacon","0","0","2019-11-16T17:07:48.000Z","Ugxfk4o-COt-XoCjpcF4AaABAg","None","FALSE","vWaRiD5ym74"
"5","El vídeo fue grabado en Coatzacoalcos?","Daniel RF","0","0","2019-11-16T16:57:34.000Z","UgxM9RdlJjHtGEaNDtF4AaABAg","None","FALSE","vWaRiD5ym74"
"6","so... they ARENT eating cake..


oh god.. why did my parents let me watch youtube today..","Comfy Strike","0","0","2019-11-16T16:33:38.000Z","Ugx2YNVs3Kjq_ntZp5Z4AaABAg","None","FALSE","vWaRiD5ym74"
"7","Who is listening in December??<U+0001F4AA><U+0001F4AA>","Amoako Agyemang","0","0","2019-11-16T13:24:48.000Z","UgygFH0iPPXGTIf9uJd4AaABAg","None","FALSE","vWaRiD5ym74"
"8","COOKIE BY THE RIVER","Dopey Tripod","0","0","2019-11-16T09:41:04.000Z","UgxTRTCW6N0VipRejxR4AaABAg","None","FALSE","vWaRiD5ym74"
"9","Joe looks like James Franco","Mirza Razak","0","0","2019-11-16T06:52:05.000Z","UgwgfeOy5az4nrlinn94AaABAg","None","FALSE","vWaRiD5ym74"
"10","You are my real life fantasy....<U+0001F644><U+0001F60F><U+0001F618>","Swarnima Dwivedi","0","0","2019-11-16T04:25:24.000Z","UgyAcUvu2f66qL0pJHB4AaABAg","None","FALSE","vWaRiD5ym74"
"11","<U+041A><U+0443><U+043A><U+043E><U+043B><U+0434> <U+0432> <U+0434><U+0435><U+043B><U+0435>!","<U+0413><U+043B><U+0430><U+0434> <U+0412><U+0430><U+043B><U+0430><U+043A><U+0430><U+0441>","0","0","2019-11-16T03:46:57.000Z","Ugx-3EEbi545LCDbIbV4AaABAg","None","FALSE","vWaRiD5ym74"
"12","I did not the name of the song and I asked to a friend and she told me is a Jonas Brother ‘s song I forgot the name and just typed “Jonas Brother ay ay ay” and it worked! <U+0001F923><U+0001F923><U+0001F923>","Marissa Turner","0","0","2019-11-16T02:38:53.000Z","UgzAx9g_td08YwkkT6F4AaABAg","None","FALSE","vWaRiD5ym74"
"13","Oh por dios sigo amandoo","Joel Moreno","0","1","2019-11-16T01:10:57.000Z","Ugzm__PnynsKytIKUvJ4AaABAg","None","FALSE","vWaRiD5ym74"
"14","this song and the malibu beach","Camila Casaess","0","0","2019-11-15T23:54:03.000Z","UgwwyVLa9foJXnES9bp4AaABAg","None","FALSE","vWaRiD5ym74"
"15","2 
   0
      1
          9 
               ?","Maruii Kawaii","0","0","2019-11-15T17:29:40.000Z","UgyIfm4jxWmJwvUGj1J4AaABAg","None","FALSE","vWaRiD5ym74"
"16","It is 2019 and i am repeating it over and over who to?","DCX Clan","0","0","2019-11-15T14:40:39.000Z","UgyXYeje-UujuEblGxN4AaABAg","None","FALSE","vWaRiD5ym74"
"17","Who is listening in December?<U+0001F602><U+0001F602><U+0001F602>","Amoako Agyemang","0","0","2019-11-15T13:28:58.000Z","UgxPqo2kUqO4CLuV2td4AaABAg","None","FALSE","vWaRiD5ym74"
"18","Wow","Emidio Esposito","0","0","2019-11-15T11:52:51.000Z","Ugxl5BM-qfgVTJiVJH54AaABAg","None","FALSE","vWaRiD5ym74"
"19","I know joe was a freak","Shen_funte","0","0","2019-11-15T11:49:43.000Z","UgxxQgieCx_xrRdTtLx4AaABAg","None","FALSE","vWaRiD5ym74"
