"","Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"1100","ZAYN you killed it!! It was amazing working with you <U+0001F525><U+0001F525><U+0001F525>","R3HAB","192","12769","2019-11-15T15:39:21.000Z","UgwWPjrYjzUu0xlirQZ4AaABAg","None","FALSE","r32IDx01CeU"
"2","Sounds like something Suits would've used.","Piyush Arora","0","0","2019-11-17T05:20:26.000Z","UgxW7f8RLkIt6661kal4AaABAg","None","FALSE","r32IDx01CeU"
"3","<U+0001F60D><U+0001F525><U+0001F525>","Elvetta Malik","0","0","2019-11-17T05:15:50.000Z","UgwwhlE1aUGmBeRr8Zt4AaABAg","None","FALSE","r32IDx01CeU"
"4","Is he still suffering from anxiety.....I mean why isn't he doing concerts shows....?","possiblist ___","0","0","2019-11-17T05:14:48.000Z","Ugw3txDH6jNsLgMQvW94AaABAg","None","FALSE","r32IDx01CeU"
"5","Who just listened to Harry styles song “watermelon sugar” then listened to this
<U+0001F447><U+0001F3FD>?","Azuri Akbar","0","0","2019-11-17T05:13:52.000Z","Ugyrohfm40hxPR-PrgZ4AaABAg","None","FALSE","r32IDx01CeU"
"6","Nyanyian zayn kaya curhatan dia sama ex.band nya","Sundane S tory","0","0","2019-11-17T05:13:36.000Z","UgwZI7Z5WKespA3g2pZ4AaABAg","None","FALSE","r32IDx01CeU"
"7","“Rolling Stone”? Harry styles? I don’t know? <U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914>","Azuri Akbar","0","0","2019-11-17T05:12:53.000Z","UgxMD63sAW7cJUdA4H94AaABAg","None","FALSE","r32IDx01CeU"
"8","Zayn on Flames","Shahshah Shah","0","0","2019-11-17T05:09:04.000Z","Ugz5puwF08ozKaNQWnh4AaABAg","None","FALSE","r32IDx01CeU"
"9","This song official video will come or not","uv Singh","0","0","2019-11-17T05:07:57.000Z","UgySK2xplyyylSb_Jvh4AaABAg","None","FALSE","r32IDx01CeU"
"10","Harry : light up
Zayn : light me up","Maleficent","0","0","2019-11-17T05:07:21.000Z","Ugws2icWYvBsvVvj-7l4AaABAg","None","FALSE","r32IDx01CeU"
"11","Zayn<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>","Dida Durotun","0","0","2019-11-17T05:01:14.000Z","Ugxrv55ygbGaGUY3Jit4AaABAg","None","FALSE","r32IDx01CeU"
